id,text,Human_sarcasm,Human_label,Human_ethics
29929,I'm in Germany right now. Stay where you are. Not worth coming to Australia. Australia is turning into a big s*** hole 🕳️ All of Europe is is up the s***,True,negative,"bias,governance"
30022,"Copyright? Most content is trawled freely for comment sites the internet, like this. Some is even a blatant collage of comments. Stuff copyright.",False,negative,none
31118,"The horse has already bolted, and most of what people seek to protect is low value garbage that AI will be able to produce faster and for less money. People don't seem to get what the I in AGI/ASI stands for, the machines will be more intelligent and more creative than the majority of humans. I've already seen things that you wouldn't believe an AI could do. 😬",True,negative,job_displacement
38319,[REDACTED]  Its the truth.,False,neutral,none
38696,Does that mean writers illustrators and books are NOT protected?,False,negative,"accountability,job_displacement,transparency"
47827,"Is there a possibility that people cant do any memes anymore ´, especially politicians? if so then this goes to authoritarian dictatorship..",False,negative,"governance,transparency"
50559,"[REDACTED] [REDACTED] Australia might introduce a ""robot productivity tax"" on AI/automation outputs or corporate gains from labor replacement, funding universal basic services or income to replace waning income taxes. Land and resource value taxes could expand, as they're less tied to human labor and",False,neutral,"bias,governance,job_displacement"
52264,Australian labour is anti-semetic and stupid. Destroying our country,True,negative,"bias,governance"
53532,Hope you don't get arrested for writing this! 🙏❤️,False,neutral,privacy
54367,"Clarity cuts through noise. Relevance earns attention.
.
.
.
#advertising #media #marketing #ai #content #strategy #storytelling #mediamath #programmatic #apps #aso #socialmedia #agency #dubai #india #canada #australia #bahrain_adv #qatar #kuwait #arabworld [URL]",True,neutral,none
58857,"[REDACTED] How about productivity? Unions turn up to the productivity summit demanding:
*4d week
*2d WFH
*Right to switch off
*Right to refuse to use AI

So much for ""Made In Australia"" when we work half as hard and cost twice as much",True,negative,"bias,job_displacement"
59812,Fuentoro AI Trading REVIEWS Australia!😰 Is it a Scam? What is Fuentoro A... [URL] via [REDACTED],False,neutral,transparency
62774,"Zoho Tables is now available in the Australian Data Center! 🇦🇺
 
Organize smarter with database power, spreadsheet ease, and AI brains.
 
Explore now👉 
[URL]

#ZohoTables #Australia #DataManagement #productivity [URL]",True,positive,none
63030,Labour government dragging us into the dark ages,True,negative,"bias,governance"
66731,"Greetings from Germany. 
May i come, please? Our regime is nuts😂",True,negative,bias
67936,I pray all will know the love of The Prince of Peace Jesus The Messiah ❤,False,positive,other
71881,"WoW NewsCorpse supports the Labor government decision... 

Outsiders After Dark won't be HAPPY",True,negative,bias
73693,"Albo
Must stop mass immigration 600,000 a year thats 6 million in 10 years ,quarter ⁵⁴of population.Cost of  living record high.......",True,negative,"bias,job_displacement"
74769,Spot on with that 👌,False,positive,none
74959,"AI = not stoppable.., as USA can be lead by maybe 30 peoples and all the rest can be replaced by AI. Few milions more burocrats can also pick the tomatoes, strawbery's and grapes, etc. etc., for which they now put imported peoples into labourslavery for! 
Even underaged children 30.000 missing under democrats ""leadership""!",True,negative,"bias,job_displacement"
74960,[REDACTED]  They'll have to arrest a lot of people then?,False,neutral,"governance,privacy"
76603,"[REDACTED]-i8u  So by that logic, Trump doesn't need to release the Epstein files until the Democrats build a party that can compete with him??🤔",True,negative,bias
76816,ANYTHING Labor touches TURNS TO SH*T! So this AI stuff will no doubt hurt who it shouldn't and NOT HURT who it should!,True,negative,bias
76881,As usual they have to cause the problem to look like they’ve solved the problem…. Antichrist,True,negative,bias
77063,AI is a lot useable and trustworthy that the current Labor government.,True,negative,bias
78212,Maybe introduce AI to the Coalition; they're certainly lacking in intellect. 😂,True,negative,bias
79516,[REDACTED]  Well not yet but not too far off.,False,negative,none
80980,Peter can't wait for Aussies to be boosted and receive Forehead Barcodes,True,negative,"bias,privacy,safety"
83918,"Yes, make no mistake, this is about nothing other than control, using copyright laws as a backdoor for censorship.",False,negative,"bias,transparency"
86757,Which means zero trust,False,negative,"safety,transparency"
93218,Successful ALP governing 🇦🇺....,False,positive,bias
93601,​ [REDACTED] I believe it! But I heard they were arresting people for writing the truth.,False,negative,"governance,privacy"
94270,"This is a serious matter, and it’s coming for everyone’s job (purpose or survival if can handle the truth)
We need a serious discussion about this technologia! All over the 🗺️
Lord, help us all🙏🏾",True,negative,"job_displacement,safety"
94747,Medicare? Thanks labor,True,negative,bias
97582,"The biggest problem here is that copyright has become a scourge on society instead of a benefit. The vast majority of copyright is held not by the creators of the works but by the publishers of the works and the vast majority of the works held in under copyright will be lost to society and history.

What was supposed to be an advantage for a short period of time for the creators has now turned into burden that has no advantages for creating new materials.

The separate problems of the various artificial stupidity (AI) systems that exist will only advance because real stupidity is so hard to overcome.

[fix a spelling error]",True,negative,"bias,transparency"
99084,"“Should Australia develop its own AI, or are we better off surrendering our AI services to be developed by the American billionaire Tech Bros?”

[URL]",True,neutral,"safety,transparency"
