"In your opinion, what are the main benefits of AI in law enforcement?_clean","What concerns, if any, do you have about the use of AI in law enforcement?_clean",What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?_clean,text_all_clean,"In your opinion, what are the main benefits of AI in law enforcement?_sentiment","In your opinion, what are the main benefits of AI in law enforcement?_sent_conf","What concerns, if any, do you have about the use of AI in law enforcement?_sentiment","What concerns, if any, do you have about the use of AI in law enforcement?_sent_conf",What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?_sentiment,What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?_sent_conf,text_all_sentiment,text_all_sent_conf,"In your opinion, what are the main benefits of AI in law enforcement?_keybert","In your opinion, what are the main benefits of AI in law enforcement?_concerns","What concerns, if any, do you have about the use of AI in law enforcement?_keybert","What concerns, if any, do you have about the use of AI in law enforcement?_concerns",What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?_keybert,What kinds of rules or safeguards would make you feel more comfortable with the use of AI in policing?_concerns,text_all_keybert,text_all_concerns,text_all
,,,,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,[],{},[],{},[],{},[],{},
being able to review and assess more information than a person could in a shorter time frame,maybe making incorrect decisions,having a human review final outcome policies about use of information,being able to review and assess more information than a person could in a shorter time frame maybe making incorrect decisions having a human review final outcome policies about use of information,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,"[('assess information', 0.5774), ('shorter time', 0.5003), ('review assess', 0.495), ('able review', 0.4246), ('person', 0.2023), ('frame', 0.1438)]",{},"[('incorrect decisions', 0.8033), ('decisions', 0.6485), ('making incorrect', 0.5747), ('maybe making', 0.3947), ('incorrect', 0.3939), ('maybe', 0.3507)]",{},"[('use information', 0.6473), ('outcome policies', 0.6009), ('human review', 0.5906), ('review final', 0.4617), ('outcome', 0.3865), ('human', 0.1477)]",{},"[('assess information', 0.5998), ('decisions human', 0.4617), ('review final', 0.3314), ('policies use', 0.3302), ('shorter time', 0.2962), ('maybe', 0.116)]",{},being able to review and assess more information than a person could in a shorter time frame maybe making incorrect decisions having a human review final outcome policies about use of information
i think that it would assist in managing solving crime more quickly,linking of data sets and then using that data for other things such as profiling,you would need human oversight in decision making you would need robust and true strong whistleblower protections you would require an ombudsman with powers to overturn decisions and compensate people fairly for breaches,i think that it would assist in managing solving crime more quickly linking of data sets and then using that data for other things such as profiling you would need human oversight in decision making you would need robust and true strong whistleblower protections you would require an ombudsman with powers to overturn decisions and compensate people fairly for breaches,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,"[('solving crime', 0.5932), ('crime quickly', 0.5595), ('managing solving', 0.288), ('quickly', 0.207), ('assist managing', 0.2016), ('think', 0.1323)]",{},"[('linking data', 0.686), ('data sets', 0.5954), ('profiling', 0.5678), ('sets using', 0.3521), ('things', 0.1845), ('using', 0.1825)]",{},"[('whistleblower protections', 0.6194), ('human oversight', 0.493), ('require ombudsman', 0.3065), ('decision making', 0.2842), ('fairly breaches', 0.2831), ('need robust', 0.2115)]",{'accountability': 1},"[('using data', 0.4395), ('profiling need', 0.376), ('crime quickly', 0.3611), ('whistleblower protections', 0.3312), ('ombudsman powers', 0.3066), ('human oversight', 0.2931)]",{'accountability': 1},i think that it would assist in managing solving crime more quickly linking of data sets and then using that data for other things such as profiling you would need human oversight in decision making you would need robust and true strong whistleblower protections you would require an ombudsman with powers to overturn decisions and compensate people fairly for breaches
,privacy issues,,privacy issues,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,[],{},"[('privacy issues', 1.0), ('privacy', 0.8307), ('issues', 0.5617)]",{'privacy': 1},[],{},"[('privacy issues', 1.0), ('privacy', 0.8307), ('issues', 0.5617)]",{'privacy': 1},privacy issues
not sure as don t have enough information about ai,misuse,transparency,not sure as don t have enough information about ai misuse transparency,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,"[('ai', 0.6589), ('information ai', 0.5741), ('information', 0.2894), ('sure information', 0.2352), ('sure', 0.1413)]",{},"[('misuse', 1.0)]",{'data_misuse': 1},"[('transparency', 1.0)]",{'transparency': 1},"[('misuse transparency', 0.6495), ('ai misuse', 0.6479), ('ai', 0.5038), ('information ai', 0.4816), ('sure information', 0.2035), ('sure', 0.0643)]","{'transparency': 1, 'data_misuse': 1}",not sure as don t have enough information about ai misuse transparency
efficiency low presence of biases,ai being manipulated by experts for illegal use or personal gain or incorrect persecution,regular human monitoring of ai functions and processes as well as human review of ai generated outcomes,efficiency low presence of biases ai being manipulated by experts for illegal use or personal gain or incorrect persecution regular human monitoring of ai functions and processes as well as human review of ai generated outcomes,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,"[('biases', 0.6546), ('efficiency low', 0.622), ('efficiency', 0.6009), ('presence biases', 0.479), ('low', 0.1756), ('presence', 0.0572)]",{},"[('ai manipulated', 0.7362), ('experts illegal', 0.6006), ('incorrect persecution', 0.426), ('personal gain', 0.1661), ('incorrect', 0.117), ('use', 0.0866)]",{},"[('monitoring ai', 0.7354), ('ai functions', 0.6092), ('generated outcomes', 0.3902), ('functions processes', 0.2593), ('review', 0.2424), ('regular human', 0.2378)]",{},"[('biases ai', 0.6746), ('manipulated experts', 0.5504), ('incorrect persecution', 0.3034), ('human monitoring', 0.2609), ('regular human', 0.2218), ('illegal', 0.1565)]",{},efficiency low presence of biases ai being manipulated by experts for illegal use or personal gain or incorrect persecution regular human monitoring of ai functions and processes as well as human review of ai generated outcomes
efficiency,misuse when it comes to privacy,i think certain level of security must be attained before allowing ai use,efficiency misuse when it comes to privacy i think certain level of security must be attained before allowing ai use,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,"[('efficiency', 1.0)]",{},"[('privacy', 0.7624), ('misuse', 0.6506), ('comes privacy', 0.5983), ('misuse comes', 0.5734), ('comes', 0.009)]","{'privacy': 1, 'data_misuse': 1}","[('allowing ai', 0.7332), ('level security', 0.5139), ('security attained', 0.4234), ('think certain', 0.1889), ('certain level', 0.1663), ('use', 0.1361)]",{'data_misuse': 1},"[('allowing ai', 0.6322), ('efficiency misuse', 0.4937), ('comes privacy', 0.469), ('level security', 0.4119), ('think certain', 0.1247), ('attained', 0.0495)]","{'privacy': 1, 'data_misuse': 2}",efficiency misuse when it comes to privacy i think certain level of security must be attained before allowing ai use
,,,,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,[],{},[],{},[],{},[],{},
more efficient,risk of abuse of data and ai tools,transparency and independent oversight,more efficient risk of abuse of data and ai tools transparency and independent oversight,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,"[('efficient', 0.8643)]",{},"[('abuse data', 0.6273), ('data ai', 0.5786), ('ai tools', 0.5575), ('risk abuse', 0.5405), ('tools', 0.4116), ('risk', 0.3737)]",{},"[('independent oversight', 0.8286), ('oversight', 0.7337), ('transparency independent', 0.67), ('transparency', 0.6169), ('independent', 0.4159)]","{'transparency': 1, 'accountability': 1}","[('independent oversight', 0.5367), ('data ai', 0.4911), ('tools transparency', 0.4491), ('risk abuse', 0.3986), ('tools', 0.3429), ('efficient', 0.1741)]","{'transparency': 1, 'accountability': 1}",more efficient risk of abuse of data and ai tools transparency and independent oversight
ai is not prejudiced against any person,ai could be used maliciously to create fake evidence,ai should have regulations in regards to who can use,ai is not prejudiced against any person ai could be used maliciously to create fake evidence ai should have regulations in regards to who can use,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,"[('ai prejudiced', 0.8157), ('ai', 0.5553), ('prejudiced person', 0.5448), ('prejudiced', 0.4976), ('person', 0.1393)]",{},"[('fake evidence', 0.6426), ('ai used', 0.5342), ('create fake', 0.5106), ('maliciously create', 0.4281), ('fake', 0.3327), ('used', 0.034)]",{},"[('ai regulations', 0.8724), ('ai', 0.6048), ('regulations', 0.5014), ('regulations regards', 0.5004), ('use', 0.1329), ('regards', 0.0875)]",{},"[('ai regulations', 0.7213), ('evidence ai', 0.715), ('fake evidence', 0.451), ('maliciously create', 0.3276), ('prejudiced person', 0.2725), ('regards use', 0.0667)]",{},ai is not prejudiced against any person ai could be used maliciously to create fake evidence ai should have regulations in regards to who can use
efficiency and reduce of workload,,more clear legislation,efficiency and reduce of workload  more clear legislation,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,"[('reduce workload', 0.7934), ('efficiency reduce', 0.7566), ('efficiency', 0.7404), ('workload', 0.7239), ('reduce', 0.2889)]",{},[],{},"[('clear legislation', 0.9278), ('legislation', 0.7774), ('clear', 0.5367)]",{},"[('clear legislation', 0.6637), ('reduce workload', 0.6097), ('legislation', 0.6037), ('efficiency reduce', 0.5804), ('workload clear', 0.5433), ('workload', 0.5105)]",{},efficiency and reduce of workload  more clear legislation
,potential for errors in decisions results,human reviews,potential for errors in decisions results human reviews,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,[],{},"[('errors decisions', 0.7982), ('decisions results', 0.751), ('potential errors', 0.5565), ('decisions', 0.5516), ('results', 0.3778), ('potential', 0.2023)]",{},"[('human reviews', 1.0), ('reviews', 0.6554), ('human', 0.4518)]",{},"[('human reviews', 0.7248), ('errors decisions', 0.6064), ('decisions results', 0.6056), ('results', 0.3153), ('human', 0.2202), ('potential', 0.1757)]",{},potential for errors in decisions results human reviews
reduction in processing times surveillance identification of criminal risk factors more efficiency use of workforce,as long that there is an enforceable code of conduct in place i have no concerns,a code of conduct signed off by the parliamentary process,reduction in processing times surveillance identification of criminal risk factors more efficiency use of workforce as long that there is an enforceable code of conduct in place i have no concerns a code of conduct signed off by the parliamentary process,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,"[('times surveillance', 0.4848), ('criminal risk', 0.4601), ('identification criminal', 0.4063), ('factors efficiency', 0.3411), ('processing', 0.339), ('use workforce', 0.3225)]",{'privacy': 1},"[('code conduct', 0.5674), ('enforceable code', 0.5381), ('enforceable', 0.5218), ('concerns', 0.4152), ('conduct place', 0.3782), ('long', 0.098)]",{},"[('signed parliamentary', 0.6572), ('parliamentary process', 0.6421), ('conduct signed', 0.5669), ('code conduct', 0.538), ('code', 0.2855), ('process', 0.2801)]",{},"[('parliamentary process', 0.4997), ('enforceable code', 0.3548), ('criminal risk', 0.3536), ('conduct signed', 0.3369), ('surveillance identification', 0.2876), ('workforce long', 0.2818)]",{'privacy': 1},reduction in processing times surveillance identification of criminal risk factors more efficiency use of workforce as long that there is an enforceable code of conduct in place i have no concerns a code of conduct signed off by the parliamentary process
faster triage of data facial number plate recognition etc,ethical concerns use of probability scores to determine punishment for example,transparency and accountability standards audit trails independent bias testing mechanisms,faster triage of data facial number plate recognition etc ethical concerns use of probability scores to determine punishment for example transparency and accountability standards audit trails independent bias testing mechanisms,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,"[('plate recognition', 0.6388), ('data facial', 0.5813), ('facial number', 0.5702), ('recognition', 0.4841), ('faster triage', 0.4647), ('data', 0.2975)]",{},"[('determine punishment', 0.6469), ('punishment example', 0.5502), ('ethical concerns', 0.5392), ('probability scores', 0.4484), ('determine', 0.1245), ('example', 0.0697)]",{},"[('transparency accountability', 0.7008), ('standards audit', 0.5833), ('audit trails', 0.5512), ('bias testing', 0.5386), ('trails independent', 0.2533), ('mechanisms', 0.1181)]","{'bias': 1, 'transparency': 1, 'accountability': 2}","[('recognition ethical', 0.5705), ('bias testing', 0.4833), ('facial number', 0.4367), ('determine punishment', 0.4077), ('standards audit', 0.3854), ('triage data', 0.2623)]","{'bias': 1, 'accountability': 1}",faster triage of data facial number plate recognition etc ethical concerns use of probability scores to determine punishment for example transparency and accountability standards audit trails independent bias testing mechanisms
doesn t get tired and if controlled properly increase the ability to track and trace people,the technology is advancing so fast that the legal laws are being left behind and therefore the technology can be abused,must be overseen by a human for any final decisions,doesn t get tired and if controlled properly increase the ability to track and trace people the technology is advancing so fast that the legal laws are being left behind and therefore the technology can be abused must be overseen by a human for any final decisions,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,"[('ability track', 0.5793), ('track trace', 0.5582), ('trace people', 0.5532), ('tired controlled', 0.4657), ('increase', 0.1816), ('properly', 0.1487)]",{},"[('technology abused', 0.6759), ('technology advancing', 0.5124), ('fast legal', 0.4764), ('left technology', 0.4541), ('laws left', 0.4062), ('advancing', 0.151)]",{},"[('overseen human', 0.7533), ('overseen', 0.6357), ('final decisions', 0.506), ('decisions', 0.4246), ('human final', 0.4178), ('human', 0.3147)]",{},"[('technology abused', 0.6321), ('track trace', 0.3803), ('overseen human', 0.3353), ('tired controlled', 0.3078), ('legal laws', 0.2841), ('advancing', 0.1599)]",{},doesn t get tired and if controlled properly increase the ability to track and trace people the technology is advancing so fast that the legal laws are being left behind and therefore the technology can be abused must be overseen by a human for any final decisions
we can catch criminals easier,my privacy will be reduced because ai will be monitoring me all the time,limit when ai is used,we can catch criminals easier my privacy will be reduced because ai will be monitoring me all the time limit when ai is used,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,"[('criminals easier', 0.8009), ('catch criminals', 0.7937), ('criminals', 0.5964), ('easier', 0.3732), ('catch', 0.3548)]",{},"[('privacy reduced', 0.6545), ('privacy', 0.5678), ('ai monitoring', 0.5355), ('reduced ai', 0.51), ('monitoring time', 0.2805), ('time', 0.1175)]",{'privacy': 1},"[('limit ai', 0.9074), ('ai used', 0.5898), ('ai', 0.5831), ('limit', 0.4484), ('used', 0.0245)]",{},"[('limit ai', 0.5821), ('easier privacy', 0.5174), ('catch criminals', 0.4682), ('monitoring time', 0.2604), ('reduced', 0.1067), ('used', 0.0586)]",{'privacy': 1},we can catch criminals easier my privacy will be reduced because ai will be monitoring me all the time limit when ai is used
speed and accurate data collection,breech of privacy and national security,transparency in decision making,speed and accurate data collection breech of privacy and national security transparency in decision making,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,"[('data collection', 0.7492), ('accurate data', 0.6096), ('speed accurate', 0.5452), ('collection', 0.5077), ('data', 0.4919), ('accurate', 0.2889)]",{'privacy': 1},"[('privacy national', 0.7241), ('national security', 0.6963), ('breech privacy', 0.6421), ('privacy', 0.6399), ('security', 0.6072), ('breech', 0.3316)]","{'privacy': 1, 'data_misuse': 1}","[('transparency decision', 0.8626), ('transparency', 0.6217), ('decision making', 0.5939), ('decision', 0.4615), ('making', 0.2159)]",{'transparency': 1},"[('security transparency', 0.6092), ('privacy national', 0.5344), ('data collection', 0.38), ('speed accurate', 0.2886), ('decision making', 0.2637), ('breech', 0.1404)]","{'privacy': 2, 'transparency': 1, 'data_misuse': 1}",speed and accurate data collection breech of privacy and national security transparency in decision making
more efficient and accurate,emotion appeal is huge in law the reasons of why they did the crime etc,can t be used in big cases,more efficient and accurate emotion appeal is huge in law the reasons of why they did the crime etc can t be used in big cases,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,NEUTRAL,0.0,"[('efficient accurate', 0.8596), ('efficient', 0.6808), ('accurate', 0.4118)]",{},"[('emotion appeal', 0.583), ('appeal huge', 0.5438), ('reasons crime', 0.5077), ('law reasons', 0.4663), ('huge law', 0.3283), ('huge', 0.0735)]",{'accountability': 1},"[('big cases', 0.7028), ('cases', 0.5533), ('used big', 0.3955), ('big', 0.3046), ('used', 0.1729)]",{},"[('appeal huge', 0.5504), ('law reasons', 0.4317), ('accurate emotion', 0.3997), ('cases', 0.3587), ('crime used', 0.3452), ('efficient', 0.1423)]",{'accountability': 1},more efficient and accurate emotion appeal is huge in law the reasons of why they did the crime etc can t be used in big cases
